CalYear,FinYear,TypeOfIncident,PropertyType,PropertyCategory,IsBariatric,SpecialServiceTypeCategory,SpecialServiceType,WardCode,WardName,BoroughCode,BoroughName,StnGroundName,Postcode,PumpCount,PumpMinutesRounded,Notional Cost (£)
2016,2016/17,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013764,Stonecot,E09000029,SUTTON,Sutton,SM3,2,101,549
2020,2020/21,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05014088,Plumstead Common,E09000011,GREENWICH,Plumstead,SE2,1,60,346
2024,2024/25,Special Service,Licensed House in Multiple Occupation - 3 or more storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013521,EALING COMMON,E09000009,EALING,Acton,W5,1,76,545
2020,2020/21,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013713,Tufnell Park,E09000019,ISLINGTON,Holloway,N7,2,60,346
2009,2009/10,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assistance to other agencies,E05014072,Abbey Wood,E09000011,Greenwich,Plumstead,SE2,1,60,260
2024,2024/25,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011115,ST. GILES,E09000028,SOUTHWARK,Peckham,SE5,1,60,430
2024,2023/24,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05014087,PLUMSTEAD & GLYNDON,E09000011,GREENWICH,Plumstead,SE18,2,133,860
2016,2016/17,Special Service,Train station - concourse ,Non Residential,1,Medical Incident - Co-responder,Medical Co-responder: Lift person,E05013906,Canning Town North,E09000025,NEWHAM,Plaistow,E15,1,60,326
2019,2019/20,Special Service,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013702,Clerkenwell,E09000019,ISLINGTON,Islington,WC1X,2,106,599
2021,2021/22,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013678,Cockfosters,E09000010,ENFIELD,Barnet,EN4,1,76,446
2023,2023/24,Special Service,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013971,GOOSHAYS,E09000016,HAVERING,Harold Hill,RM3,1,60,388
2024,2023/24,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05014090,THAMESMEAD MOORINGS,E09000011,GREENWICH,Plumstead,SE28,2,219,1416
2021,2021/22,Special Service,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013659,Hampstead Town,E09000007,CAMDEN,West Hampstead,NW3,1,60,352
2021,2021/22,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013588,Crouch End,E09000014,HARINGEY,Hornsey,N8,1,60,352
2023,2023/24,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013560,STANMORE,E09000015,HARROW,Stanmore,HA7,1,60,388
2020,2020/21,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05009376,HOMERTON,E09000012,HACKNEY,Homerton,E9,2,202,1165
2022,2022/23,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013918,PLAISTOW NORTH,E09000025,NEWHAM,Plaistow,E13,2,319,1935
2023,2023/24,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,E05013677,CARTERHATCH,E09000010,ENFIELD,Enfield,EN3,1,60,388
2024,2023/24,Special Service,House - single occupancy ,Dwelling,1,Medical Incident,Medical incident - No action required by Brigade,E05013719,DEPTFORD,E09000023,LEWISHAM,Deptford,SE14,1,60,388
2023,2022/23,Special Service,Self contained Sheltered Housing ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013682,HASELBURY,E09000010,ENFIELD,Edmonton,N9,2,60,364
2024,2024/25,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013513,WELSH HARP,E09000005,BRENT,Stanmore,NW9,2,129,925
2023,2023/24,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013995,CRYSTAL PALACE & ANERLEY,E09000006,BROMLEY,Woodside,SE20,1,60,388
2023,2023/24,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05014085,MIDDLE PARK & HORN PARK,E09000011,GREENWICH,Eltham,SE9,1,60,388
2021,2021/22,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013523,Greenford Broadway,E09000009,EALING,Southall,UB5,1,60,352
2024,2023/24,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013526,LADY MARGARET,E09000009,EALING,Southall,UB1,1,60,388
2023,2023/24,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Medical Incident,Medical incident - Lift person ,E05013710,ST. MARY'S & ST. JAMES',E09000019,ISLINGTON,Islington,N1,1,60,388
2021,2020/21,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011229,ST. MARY'S & ST. JAMES,E09000004,BEXLEY,Bexley,DA5,1,115,663
2024,2023/24,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011231,SLADE GREEN & NORTHEND,E09000004,BEXLEY,Erith,DA8,1,60,388
2022,2022/23,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,E05013819,LOWER MORDEN,E09000024,MERTON,Mitcham,SM4,2,144,874
2024,2024/25,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,No action (not false alarm),Service not required,E05014012,FALCONBROOK,E09000032,WANDSWORTH,Battersea,SW11,1,60,430
2024,2023/24,Special Service,Nursing/Care Home/Hospice,Other Residential,1,Assist other agencies,Assist ambulance with over weight person,E05014106,KNIGHT'S HILL,E09000022,LAMBETH,West Norwood,SE27,1,89,576
2022,2022/23,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013795,Harrow Road,E09000033,WESTMINSTER,North Kensington,W9,1,60,364
2022,2021/22,Special Service,Retirement/Old Persons Home,Other Residential,1,Assist other agencies,Assist ambulance with over weight person,E05011253,VALENTINES,E09000026,REDBRIDGE,Ilford,IG1,1,60,352
2022,2022/23,Special Service,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013671,WEST HAMPSTEAD,E09000007,CAMDEN,West Hampstead,NW6,1,60,364
2017,2017/18,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05009317,Bethnal Green,E09000030,TOWER HAMLETS,Bethnal Green,E2,1,60,328
2021,2021/22,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013637,Edgware,E09000003,BARNET,Stanmore,HA8,1,104,610
2019,2019/20,Special Service,Nursing/Care Home/Hospice,Other Residential,1,Assist other agencies,Assist ambulance with over weight person,E05014073,Blackheath Westcombe,E09000011,GREENWICH,East Greenwich,SE3,1,78,441
2022,2022/23,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011488,WEST THORNTON,E09000008,CROYDON,Norbury,CR7,1,60,364
2021,2020/21,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,E05011464,BENSHAM MANOR,E09000008,CROYDON,Norbury,CR7,1,60,346
2019,2018/19,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Advice Only,Advice given only,E05013531,Northolt Mandeville,E09000009,EALING,Northolt,UB5,1,60,333
2022,2021/22,Special Service,Caravan/Mobile home (permanent dwelling),Dwelling,1,Assist other agencies,Assist ambulance with over weight person,Unknown,Unknown,Unknown,Unknown,Essex,E4,2,152,892
2021,2021/22,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013731,Sydenham,E09000023,LEWISHAM,Beckenham,SE26,1,60,352
2024,2024/25,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013987,BECKENHAM TOWN & COPERS COPE,E09000006,BROMLEY,Beckenham,BR3,1,60,430
2024,2023/24,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013926,WALL END,E09000025,NEWHAM,East Ham,E6,1,120,776
2024,2024/25,Special Service,Barge ,Boat,1,Other rescue/release of persons,Rescue/Release of person - Other action,E05009297,CASTLE BAYNARD,E09000001,CITY OF LONDON,Dowgate,EC4V,1,60,430
2021,2021/22,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05009401,QUEEN'S GATE,E09000020,KENSINGTON AND CHELSEA,Kensington,SW7,2,231,1355
2022,2021/22,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013647,Underhill,E09000003,BARNET,Barnet,EN5,1,60,352
2024,2023/24,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011242,FAIRLOP,E09000026,REDBRIDGE,Hainault,IG6,1,63,407
2010,2010/11,Special Service,Purpose Built Flats/Maisonettes - 10 or more storeys ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,E05013514,Wembley Central,E09000005,Brent,Wembley,HA0,2,105,455
2024,2024/25,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013806,ST. JAMES'S,E09000033,WESTMINSTER,Soho,WC2H,1,60,430
2012,2011/12,Special Service,Self contained Sheltered Housing ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,E05013988,Bickley & Sundridge,E09000006,Bromley,Bromley,BR1,1,60,260
2024,2023/24,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Effecting entry/exit,Effecting entry - Other action,E05013693,TOWN,E09000010,ENFIELD,Enfield,EN2,1,60,388
2021,2021/22,Special Service,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05009397,HOLLAND,E09000020,KENSINGTON AND CHELSEA,Hammersmith,W14,1,60,352
2015,2014/15,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05014087,Plumstead & Glyndon,E09000011,Greenwich,Plumstead,SE18,2,75,369
2023,2023/24,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05014074,CHARLTON HORNFAIR,E09000011,GREENWICH,East Greenwich,SE3,1,60,388
2024,2024/25,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05009321,BROMLEY NORTH,E09000030,TOWER HAMLETS,Poplar,E3,1,60,430
2023,2023/24,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013679,EDMONTON GREEN,E09000010,ENFIELD,Edmonton,N18,1,60,388
2023,2023/24,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05014096,BRIXTON NORTH,E09000022,LAMBETH,Brixton,SW9,1,152,983
2020,2019/20,Special Service,House - single occupancy ,Dwelling,1,No action (not false alarm),Service not required,E05011220,BLACKFEN & LAMORBEY,E09000004,BEXLEY,Sidcup,DA15,1,60,339
2010,2009/10,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,E05013931,Chessington South & Malden Rushett,E09000021,Kingston upon Thames,Surbiton,KT9,1,60,260
2020,2020/21,Special Service,House - single occupancy ,Dwelling,1,Other rescue/release of persons,Rescue/Release of persons - From height,E05013576,Pinkwell,E09000017,HILLINGDON,Hayes,UB3,1,192,1107
2022,2022/23,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011227,LONGLANDS,E09000004,BEXLEY,Sidcup,SE9,1,60,364
2023,2022/23,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011229,ST. MARY'S & ST. JAMES,E09000004,BEXLEY,Bexley,DA5,1,76,461
2024,2023/24,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013763,SOUTH BEDDINGTON & ROUNDSHAW,E09000029,SUTTON,Wallington,SM6,1,60,388
2011,2011/12,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assistance to other agencies,E05013700,Caledonian,E09000019,Islington,Euston,N1,1,123,533
2023,2023/24,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013676,BUSH HILL PARK,E09000010,ENFIELD,Edmonton,EN1,2,67,433
2021,2021/22,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05014072,Abbey Wood,E09000011,GREENWICH,Plumstead,SE2,1,63,370
2021,2021/22,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05009334,Stepney Green,E09000030,TOWER HAMLETS,Shadwell,E1,1,60,352
2021,2021/22,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011220,BLACKFEN & LAMORBEY,E09000004,BEXLEY,Eltham,DA15,1,60,352
2020,2020/21,Special Service,Human harm outdoors,Outdoor,1,Assist other agencies,Assist ambulance with over weight person,E05014059,Eastbrook & Rush Green,E09000002,BARKING AND DAGENHAM,Dagenham,RM10,1,60,346
2024,2024/25,Special Service,Hotel/motel ,Other Residential,1,Assist other agencies,Assist ambulance with over weight person,E05009388,ABINGDON,E09000020,KENSINGTON AND CHELSEA,Kensington,W8,1,60,430
2023,2023/24,Special Service,Road surface/pavement ,Outdoor,1,Assist other agencies,Assist ambulance with over weight person,E05013653,BLOOMSBURY,E09000007,CAMDEN,Soho,WC1A,1,60,388
2024,2024/25,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013766,SUTTON NORTH,E09000029,SUTTON,Sutton,SM1,1,62,444
2021,2020/21,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05014092,Woolwich Arsenal,E09000011,GREENWICH,Plumstead,SE18,2,60,346
2021,2021/22,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05014092,Woolwich Arsenal,E09000011,GREENWICH,Plumstead,SE18,2,60,352
2014,2014/15,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05014087,Plumstead & Glyndon,E09000011,Greenwich,Plumstead,SE18,1,119,585
2023,2023/24,Special Service,Train station - platform (below ground) ,Non Residential,1,Assist other agencies,Assist ambulance with over weight person,E05013662,HOLBORN & COVENT GARDEN,E09000007,CAMDEN,Soho,WC1V,1,60,388
2023,2023/24,Special Service,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013611,CHISWICK RIVERSIDE,E09000018,HOUNSLOW,Chiswick,W4,1,60,388
2011,2011/12,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,E05013592,Highgate,E09000014,Haringey,Hornsey,N6,2,176,763
2024,2024/25,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05009384,STAMFORD HILL WEST,E09000012,HACKNEY,Stoke Newington,N16,1,60,430
2015,2015/16,Special Service,House - single occupancy ,Dwelling,1,Medical Incident,Medical incident - Lift person ,E05013790,West Twickenham,E09000027,RICHMOND UPON THAMES,Twickenham,TW2,1,60,298
2024,2023/24,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05009401,QUEEN'S GATE,E09000020,KENSINGTON AND CHELSEA,Kensington,SW7,2,134,867
2024,2024/25,Fire,House - single occupancy ,Dwelling,1,Unknown,,E05013814,FIGGE'S MARSH,E09000024,MERTON,Mitcham,CR4,2,60,430
2018,2017/18,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013933,Coombe Vale,E09000021,KINGSTON UPON THAMES,New Malden,KT1,1,60,328
2011,2011/12,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,E05013561,Wealdstone North,E09000015,Harrow,Stanmore,HA3,1,60,260
2021,2021/22,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05014118,Waterloo & South Bank,E09000022,LAMBETH,Lambeth,SE1,1,60,352
2021,2020/21,Special Service,Purpose Built Flats/Maisonettes - 10 or more storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013748,Shepherd's Bush Green,E09000013,HAMMERSMITH AND FULHAM,North Kensington,W11,1,60,346
2020,2020/21,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05014004,Plaistow,E09000006,BROMLEY,Bromley,BR1,2,62,358
2023,2023/24,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,Unknown,Unknown,Unknown,Unknown,Essex,CM17,1,61,394
2024,2024/25,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011470,NEW ADDINGTON NORTH,E09000008,CROYDON,Addington,CR0,1,64,459
2022,2022/23,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011479,SELHURST,E09000008,CROYDON,Croydon,CR0,1,60,364
2024,2024/25,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05014023,TOOTING BEC,E09000032,WANDSWORTH,Tooting,SW17,2,114,817
2023,2023/24,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013705,HILLRISE,E09000019,ISLINGTON,Holloway,N19,1,76,491
2024,2024/25,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011488,WEST THORNTON,E09000008,CROYDON,Norbury,CR7,1,60,430
2016,2016/17,Special Service,Road surface/pavement ,Outdoor,1,Medical Incident - Co-responder,Medical Co-responder: Lift person,E05013905,Boleyn,E09000025,NEWHAM,East Ham,E6,1,60,326
2021,2021/22,Special Service,Nursing/Care Home/Hospice,Other Residential,1,Assist other agencies,Assist ambulance with over weight person,E05013889,Hale End & Highams Park South,E09000031,WALTHAM FOREST,Woodford,IG8,1,60,352
2010,2009/10,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Effecting entry/exit,Effecting entry/exit - To able bodied person not in distress,E05013739,Fulham Town,E09000013,Hammersmith and Fulham,Fulham,SW6,1,88,381
2017,2017/18,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05014060,Eastbury,E09000002,BARKING AND DAGENHAM,Barking,IG11,2,60,328
2022,2022/23,Special Service,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05009397,HOLLAND,E09000020,KENSINGTON AND CHELSEA,Hammersmith,W14,1,66,400
2023,2023/24,Special Service,House - single occupancy ,Dwelling,1,No action (not false alarm),Service not required,E05013500,DOLLIS HILL,E09000005,BRENT,Willesden,NW2,1,60,388
2011,2011/12,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Other rescue/release of persons,Rescue/Release of persons - From height,E05013631,Childs Hill,E09000003,Barnet,West Hampstead,NW11,1,81,351
2017,2017/18,Special Service,Purpose Built Flats/Maisonettes - 10 or more storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013670,South Hampstead,E09000007,CAMDEN,West Hampstead,NW6,1,60,328
2017,2017/18,Special Service,Bus/coach ,Road Vehicle,1,Assist other agencies,Assist ambulance with over weight person,E05014115,Streatham St. Leonard's,E09000022,LAMBETH,Tooting,SW16,1,60,328
2013,2013/14,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013698,Barnsbury,E09000019,Islington,Islington,N1,1,60,290
2022,2022/23,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013528,NORTH GREENFORD,E09000009,EALING,Northolt,UB6,1,60,364
2023,2023/24,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013597,ST. ANN'S,E09000014,HARINGEY,Tottenham,N15,1,60,388
2020,2020/21,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013586,Bounds Green,E09000014,HARINGEY,Hornsey,N22,1,87,502
2023,2023/24,Special Service,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013521,EALING COMMON,E09000009,EALING,Ealing,W5,1,60,388
2020,2020/21,Special Service,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013658,Gospel Oak,E09000007,CAMDEN,Kentish Town,NW3,1,105,606
2011,2010/11,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,E05013507,Queens Park,E09000005,Brent,North Kensington,NW10,1,60,260
2023,2023/24,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05009403,ROYAL HOSPITAL,E09000020,KENSINGTON AND CHELSEA,Chelsea,SW3,1,61,394
2022,2022/23,Special Service,Bungalow - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011464,BENSHAM MANOR,E09000008,CROYDON,Norbury,CR7,1,60,364
2020,2020/21,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013588,Crouch End,E09000014,HARINGEY,Hornsey,N8,2,242,1396
2018,2018/19,Special Service,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013912,Forest Gate South,E09000025,NEWHAM,Stratford,E7,1,86,477
2021,2020/21,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,Unknown,Unknown,Unknown,Unknown,Surrey,KT4,1,60,346
2011,2011/12,Special Service,Bus/coach ,Road Vehicle,1,Assist other agencies,Other assistance to police/ambulance,E05013906,Canning Town North,E09000025,Newham,Poplar,E16,2,146,633
2021,2021/22,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013975,Heaton,E09000016,HAVERING,Harold Hill,RM3,1,60,352
2017,2017/18,Special Service,House - single occupancy ,Dwelling,1,Medical Incident - Co-responder,Medical Co-responder: Chest pain/Cardiac arrest/Heart condition,E05014006,St. Mary Cray,E09000006,BROMLEY,Orpington,BR5,2,69,377
2023,2023/24,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013600,STROUD GREEN,E09000014,HARINGEY,Holloway,N4,1,60,388
2022,2022/23,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013713,TUFNELL PARK,E09000019,ISLINGTON,Holloway,N7,2,60,364
2021,2021/22,Special Service,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013632,Colindale North,E09000003,BARNET,Mill Hill,NW9,1,60,352
2024,2024/25,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011470,NEW ADDINGTON NORTH,E09000008,CROYDON,Addington,CR0,1,60,430
2023,2022/23,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assistance to other agencies,E05011109,OLD KENT ROAD,E09000028,SOUTHWARK,Old Kent Road,SE15,2,65,394
2023,2022/23,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013894,LARKSWOOD,E09000031,WALTHAM FOREST,Chingford,E4,1,60,364
2014,2014/15,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,E05013646,Totteridge & Woodside,E09000003,Barnet,Finchley,N12,1,60,295
2023,2023/24,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05014090,THAMESMEAD MOORINGS,E09000011,GREENWICH,Plumstead,SE28,1,60,388
2019,2018/19,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Medical Incident,Medical incident - Breathing difficulties / Respiratory arrest ,E05009396,GOLBORNE,E09000020,KENSINGTON AND CHELSEA,North Kensington,W10,2,179,993
2020,2020/21,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05014112,Streatham Common & Vale,E09000022,LAMBETH,Norbury,SW16,1,60,346
2023,2023/24,Special Service,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05014104,HERNE HILL & LOUGHBOROUGH JUNCTION,E09000022,LAMBETH,Brixton,SE24,1,60,388
2024,2024/25,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013536,SOUTH ACTON,E09000009,EALING,Acton,W3,1,60,430
2024,2024/25,Special Service,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011104,LONDON BRIDGE & WEST BERMONDSEY,E09000028,SOUTHWARK,Dockhead,SE1,1,64,459
2023,2023/24,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013633,COLINDALE SOUTH,E09000003,BARNET,Hendon,NW9,2,214,1384
2023,2023/24,Special Service,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,1,No action (not false alarm),Service not required,E05013717,CATFORD SOUTH,E09000023,LEWISHAM,Lewisham,SE6,1,65,420
2022,2022/23,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assistance to other agencies,E05013604,White Hart Lane,E09000014,HARINGEY,Tottenham,N17,1,60,364
